Date,Open,High,Low,Close,Volume
30-Mar-15,9.41,9.66,9.31,9.52,13002
27-Mar-15,9.45,9.45,9.11,9.28,7627
26-Mar-15,8.94,9.24,8.76,8.87,25320
25-Mar-15,9.84,9.84,8.51,8.81,151232
24-Mar-15,9.83,9.92,9.80,9.81,13480
23-Mar-15,9.82,9.92,9.81,9.83,14380
20-Mar-15,9.94,9.99,9.80,9.88,28240
19-Mar-15,9.96,10.21,9.75,9.83,108246
18-Mar-15,9.40,9.55,9.27,9.46,29526
17-Mar-15,9.37,9.39,9.30,9.35,16110
16-Mar-15,9.30,9.36,9.30,9.35,32995
13-Mar-15,9.30,9.44,9.30,9.30,15134
12-Mar-15,9.48,9.50,9.23,9.32,33871
11-Mar-15,9.20,9.47,9.05,9.30,44957
10-Mar-15,8.41,9.24,8.41,9.18,108582
9-Mar-15,8.42,8.60,8.42,8.59,4569
6-Mar-15,8.49,8.49,8.39,8.42,17186
5-Mar-15,8.20,8.60,8.16,8.45,71913
4-Mar-15,8.20,8.35,8.16,8.18,23237
3-Mar-15,7.96,8.05,7.96,8.01,12623
2-Mar-15,7.75,8.15,7.65,7.99,40403
27-Feb-15,7.64,7.75,7.51,7.72,12270
26-Feb-15,7.62,7.75,7.56,7.67,41263
25-Feb-15,7.51,7.76,7.51,7.64,21684
24-Feb-15,7.53,7.93,7.50,7.84,18810
23-Feb-15,7.79,7.88,7.66,7.68,14686
20-Feb-15,7.90,7.90,7.66,7.82,31176
19-Feb-15,7.85,7.90,7.68,7.84,11403
18-Feb-15,8.00,8.00,7.87,7.90,15557
17-Feb-15,8.25,8.29,7.84,7.94,17819
13-Feb-15,8.26,8.50,8.16,8.24,44102
12-Feb-15,7.73,8.00,7.69,7.99,17147
11-Feb-15,7.50,7.86,7.45,7.70,53488
10-Feb-15,6.96,7.24,6.90,7.16,52774
9-Feb-15,6.50,6.97,6.50,6.95,14465
5-Feb-15,6.29,6.50,6.29,6.50,17276
4-Feb-15,6.26,6.34,6.26,6.29,3190
3-Feb-15,6.43,6.45,6.33,6.44,7276
2-Feb-15,6.44,6.46,6.30,6.41,20034
30-Jan-15,6.34,6.50,6.20,6.50,15904
29-Jan-15,6.49,6.49,5.93,6.40,20045
28-Jan-15,6.48,6.58,6.41,6.55,2598
27-Jan-15,6.45,6.46,6.39,6.45,8650
26-Jan-15,6.52,6.59,6.45,6.45,8535
23-Jan-15,6.60,6.60,6.45,6.59,4285
22-Jan-15,6.63,6.82,6.45,6.60,12892
21-Jan-15,6.49,6.57,6.47,6.57,6720
20-Jan-15,6.50,6.51,6.48,6.50,3564
16-Jan-15,6.50,6.58,6.50,6.50,6126
15-Jan-15,6.60,6.70,6.50,6.52,12157
14-Jan-15,6.70,6.70,6.50,6.65,15575
13-Jan-15,6.80,6.99,6.71,6.71,21148
12-Jan-15,6.76,7.00,6.76,6.93,4817
9-Jan-15,6.81,6.99,6.81,6.99,3402
8-Jan-15,6.94,7.04,6.76,6.90,15388
7-Jan-15,7.36,7.36,6.90,6.98,9304
6-Jan-15,7.03,7.21,7.01,7.09,8520
5-Jan-15,7.36,7.36,6.86,7.05,23957
2-Jan-15,7.15,7.32,7.15,7.32,4856
31-Dec-14,7.15,7.26,6.99,7.26,9428
30-Dec-14,6.86,7.19,6.70,7.16,27348
